Sample,Bio_Age,Corrected_Biological_Age
SRR28479535,61.40031110789005,61.400262365394674
SRR28479537,79.02158168569005,79.0213932197085
SRR28479531,95.11028969999005,95.10968183302634
SRR28479538,99.03924300399005,99.03844131764342
SRR28479526,89.45444053029004,89.45403499634085
SRR28479528,101.98942370419005,101.98843917875551
SRR28479530,104.49981893319004,104.49864821216507
SRR28479534,98.88703845129005,98.88624526100182
SRR28479529,114.05762468269005,114.05539101811459
SRR28479539,76.58289399549005,76.58273701641482
SRR28479525,105.27584566049005,105.27461091201582
SRR28479532,91.89517159269005,91.89468821880034
SRR28479533,95.86892047159004,95.86827905670357
SRR28479536,66.94743034379005,66.94735514350569
SRR28479527,99.37430237099005,99.37348167524755
SRR28479540,77.27525985559005,77.27509449068089
